RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,So,6-10,Robbie Avila,Saint Louis,A10,87.9,6.2,6.5,119.3,32.9,53.1,58.0,7.9,20.2,28.9,11.8,0.0,1.7,35.4,21-36,0.583,12.4,9-29,0.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sr,6-4,Taye Fields,North Alabama,ASun,78.8,6.2,11.9,144.9,23.6,62.0,66.7,9.7,15.3,22.9,6.5,2.9,4.2,42.0,28-46,0.609,1.5,2-4,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Jr,6-9,Zuby Ejiofor,St. John's,BE,80.8,6.1,12.4,135.9,21.6,62.8,65.4,15.5,11.8,20.3,11.4,5.9,2.1,81.4,24-38,0.632,1.8,2-5,0.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Jr,6-4,Trey Fort,Samford,SC,72.9,6.1,13.4,142.8,26.0,63.8,68.6,4.1,17.5,10.4,5.6,0.0,4.4,31.6,26-40,0.650,13.2,15-36,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,So,6-9,Baye Ndongo,Georgia Tech,ACC,87.0,6.0,10.4,127.0,26.5,65.6,68.2,17.5,33.7,12.9,17.4,6.9,0.4,56.3,27-43,0.628,2.1,3-5,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Jr,6-4,Bennett Stirtz,Drake,MVC,97.9,6.0,11.6,126.2,23.7,60.6,62.2,2.4,21.7,32.2,14.2,0.9,3.0,26.9,15-30,0.500,9.3,11-22,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sr,6-5,Kody Clouet,San Diego,WCC,79.2,6.0,9.6,147.2,18.6,79.3,80.3,1.6,12.0,9.9,11.6,0.8,1.3,17.4,11-18,0.611,12.1,17-28,0.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Sr,6-9,Jae'Lyn Withers,North Carolina,ACC,63.7,6.0,13.6,164.0,16.5,84.4,82.1,9.4,26.0,10.1,8.3,3.4,0.5,50.0,9-14,0.643,8.3,12-18,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sr,6-3,Terence Harcum,Murray St.,MVC,91.5,5.9,6.2,135.7,20.1,63.5,67.1,0.7,10.2,9.0,5.9,0.0,1.6,30.8,12-23,0.522,11.4,14-29,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sr,6-8,Tyson Degenhart,Boise St.,MWC,89.0,5.9,6.6,121.0,26.9,50.7,57.6,11.6,12.5,12.5,10.3,0.0,1.7,56.7,25-47,0.532,7.0,6-20,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sr,6-3,Ian Martinez,Utah St.,MWC,77.4,5.9,7.7,127.2,24.7,59.8,68.4,2.4,9.5,12.9,17.7,1.7,2.8,54.9,14-26,0.538,9.9,11-25,0.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sr,6-2,Alston Mason,Arizona St.,B12,72.7,5.9,5.5,118.5,22.1,54.9,60.3,3.3,2.4,31.6,14.3,0.0,0.8,36.6,12-24,0.500,6.7,7-17,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Jr,6-10,Tarris Reed Jr.,Connecticut,BE,56.5,5.9,16.5,145.0,25.0,73.2,70.9,23.5,26.6,14.0,6.5,9.6,2.2,61.0,30-41,0.732,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Sr,6-7,Chad Baker-Mazara,Auburn,SEC,69.7,5.8,11.7,131.3,23.1,61.2,68.2,1.6,11.5,11.8,12.1,3.1,2.0,57.1,15-28,0.536,8.4,10-21,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
